Position,Height,Notes,,Distance Down Course,Pre-Course,Braking,Post-Catch,Elevation,,Course Start,34000
Feet,Feet,,,,,,,,,,
19750,4716.6,,,,4343.4,,,1437.61968,,,
19800,4717.1,,,,4328.16,,,1437.77208,,,
19850,4717.6,,,,4312.92,,,1437.92448,,,
19900,4718.1,,,,4297.68,,,1438.07688,,,
19950,4718.6,,,,4282.44,,,1438.22928,,,
20000,4719.1,,,,4267.2,,,1438.38168,,,
20050,4719.6,,,,4251.96,,,1438.53408,,,
20100,4720.2,,,,4236.72,,,1438.71696,,,
20150,4720.7,,,,4221.48,,,1438.86936,,,
20200,4721.2,,,,4206.24,,,1439.02176,,,
20250,4721.7,,,,4191,,,1439.17416,,,
20300,4722.1,,,,4175.76,,,1439.29608,,,
20350,4722.6,,,,4160.52,,,1439.44848,,,
20400,4723.1,,,,4145.28,,,1439.60088,,,
20450,4723.5,,,,4130.04,,,1439.7228,,,
20500,4723.9,,,,4114.8,,,1439.84472,,,
20550,4724.3,,,,4099.56,,,1439.96664,,,
20600,4724.7,,,,4084.32,,,1440.08856,,,
20650,4725.1,,,,4069.08,,,1440.21048,,,
20700,4725.4,,,,4053.84,,,1440.30192,,,
20750,4725.8,,,,4038.6,,,1440.42384,,,
20800,4726.1,,,,4023.36,,,1440.51528,,,
20850,4726.4,,,,4008.12,,,1440.60672,,,
20900,4726.8,,,,3992.88,,,1440.72864,,,
20950,4727.2,,,,3977.64,,,1440.85056,,,
21000,4727.5,,,,3962.4,,,1440.942,,,
21050,4727.9,,,,3947.16,,,1441.06392,,,
21100,4728.4,,,,3931.92,,,1441.21632,,,
21150,4728.8,,,,3916.68,,,1441.33824,,,
21200,4729.2,,,,3901.44,,,1441.46016,,,
21250,4729.7,,,,3886.2,,,1441.61256,,,
21300,4730.1,,,,3870.96,,,1441.73448,,,
21350,4730.6,,,,3855.72,,,1441.88688,,,
21400,4731,,,,3840.48,,,1442.0088,,,
21450,4731.5,,,,3825.24,,,1442.1612,,,
21500,4732,,,,3810,,,1442.3136,,,
21550,4732.4,,,,3794.76,,,1442.43552,,,
21600,4732.9,,,,3779.52,,,1442.58792,,,
21650,4733.4,,,,3764.28,,,1442.74032,,,
21700,4733.9,,,,3749.04,,,1442.89272,,,
21750,4734.4,,,,3733.8,,,1443.04512,,,
21800,4734.9,,,,3718.56,,,1443.19752,,,
21850,4735.4,,,,3703.32,,,1443.34992,,,
21900,4735.8,,,,3688.08,,,1443.47184,,,
21950,4736.3,,,,3672.84,,,1443.62424,,,
22000,4736.7,,,,3657.6,,,1443.74616,,,
22050,4737.1,,,,3642.36,,,1443.86808,,,
22100,4737.5,,,,3627.12,,,1443.99,,,
22150,4737.9,,,,3611.88,,,1444.11192,,,
22200,4738.2,,,,3596.64,,,1444.20336,,,
22250,4738.5,,,,3581.4,,,1444.2948,,,
22300,4738.8,,,,3566.16,,,1444.38624,,,
22350,4739.2,,,,3550.92,,,1444.50816,,,
22400,4739.5,,,,3535.68,,,1444.5996,,,
22450,4739.9,,,,3520.44,,,1444.72152,,,
22500,4740.2,,,,3505.2,,,1444.81296,,,
22550,4740.6,,,,3489.96,,,1444.93488,,,
22600,4740.9,,,,3474.72,,,1445.02632,,,
22650,4741.3,,,,3459.48,,,1445.14824,,,
22700,4741.7,,,,3444.24,,,1445.27016,,,
22750,4742.1,,,,3429,,,1445.39208,,,
22800,4742.5,,,,3413.76,,,1445.514,,,
22850,4742.9,,,,3398.52,,,1445.63592,,,
22900,4743.3,,,,3383.28,,,1445.75784,,,
22950,4743.7,,,,3368.04,,,1445.87976,,,
23000,4744.2,,,,3352.8,,,1446.03216,,,
23050,4744.5,,,,3337.56,,,1446.1236,,,
23100,4745.1,,,,3322.32,,,1446.30648,,,
23150,4745.5,,,,3307.08,,,1446.4284,,,
23200,4746,,,,3291.84,,,1446.5808,,,
23250,4746.4,,,,3276.6,,,1446.70272,,,
23300,4746.8,,,,3261.36,,,1446.82464,,,
23350,4747.2,,,,3246.12,,,1446.94656,,,
23400,4747.6,,,,3230.88,,,1447.06848,,,
23450,4748.1,,,,3215.64,,,1447.22088,,,
23500,4748.5,,,,3200.4,,,1447.3428,,,
23550,4748.9,,,,3185.16,,,1447.46472,,,
23600,4749.3,,,,3169.92,,,1447.58664,,,
23650,4749.8,,,,3154.68,,,1447.73904,,,
23700,4750,,,,3139.44,,,1447.8,,,
23750,4750.4,,,,3124.2,,,1447.92192,,,
23800,4750.7,,,,3108.96,,,1448.01336,,,
23850,4751.1,,,,3093.72,,,1448.13528,,,
23900,4751.4,,,,3078.48,,,1448.22672,,,
23950,4751.8,,,,3063.24,,,1448.34864,,,
24000,4752.2,,,,3048,,,1448.47056,,,
24050,4752.5,,,,3032.76,,,1448.562,,,
24100,4752.9,,,,3017.52,,,1448.68392,,,
24150,4753.2,,,,3002.28,,,1448.77536,,,
24200,4753.6,,,,2987.04,,,1448.89728,,,
24250,4753.9,,,,2971.8,,,1448.98872,,,
24300,4754.2,,,,2956.56,,,1449.08016,,,
24350,4754.5,,,,2941.32,,,1449.1716,,,
24400,4754.8,,,,2926.08,,,1449.26304,,,
24450,4755.1,,,,2910.84,,,1449.35448,,,
24500,4755.4,,,,2895.6,,,1449.44592,,,
24550,4755.7,,,,2880.36,,,1449.53736,,,
24600,4755.9,,,,2865.12,,,1449.59832,,,
24650,4756.2,,,,2849.88,,,1449.68976,,,
24700,4756.5,,,,2834.64,,,1449.7812,,,
24750,4756.7,,,,2819.4,,,1449.84216,,,
24800,4757,,,,2804.16,,,1449.9336,,,
24850,4757.2,,,,2788.92,,,1449.99456,,,
24900,4757.5,,,,2773.68,,,1450.086,,,
24950,4757.7,,,,2758.44,,,1450.14696,,,
25000,4758,,,,2743.2,,,1450.2384,,,
25050,4758.2,,,,2727.96,,,1450.29936,,,
25100,4758.5,,,,2712.72,,,1450.3908,,,
25150,4758.7,,,,2697.48,,,1450.45176,,,
25200,4759,,,,2682.24,,,1450.5432,,,
25250,4759.2,,,,2667,,,1450.60416,,,
25300,4759.6,,,,2651.76,,,1450.72608,,,
25350,4759.9,,,,2636.52,,,1450.81752,,,
25400,4760.2,,,,2621.28,,,1450.90896,,,
25450,4760.5,,,,2606.04,,,1451.0004,,,
25500,4760.8,,,,2590.8,,,1451.09184,,,
